============ Dead Class ===========
 Total Dead class: 724
Class AnsiOutputApplicationListenerTests has 0 reference.
Class FilteredIterableConfigurationPropertiesSourceTests has 0 reference.
Class BasicJsonParserTests has 0 reference.
Class ApplicationPidFileWriterTests has 0 reference.
Class PeriodToStringConverterTests has 0 reference.
Class CachingConfigurationPropertySourceTests has 0 reference.
Class ServletContextInitializerBeansTests has 0 reference.
Class ValidationErrorsTests has 0 reference.
Class MultiplePrefixPropertiesDeclaredAsAnnotationValueConfiguration has 0 reference.
Class ExampleImmutableNestedBeanWithoutSetter has 0 reference.
Class ErrorPageFilterConfiguration has 0 reference.
Class DataObjectPropertyName has 0 reference.
Class InaccessibleConfiguration has 0 reference.
Class InvalidPrefixConfiguration has 0 reference.
Class MessageInterpolatorFactoryWithoutElIntegrationTests has 0 reference.
Class AtomikosXAConnectionFactoryWrapperTests has 0 reference.
Class AvailabilityChangeEvent has 0 reference.
Class BasicConfiguration has 0 reference.
Class OriginCapablePropertySource has 0 reference.
Class AnnotationConfigServletWebServerApplicationContextTests has 0 reference.
Class ValuePackages has 0 reference.
Class AnsiColorsTests has 0 reference.
Class ObjectErrorFailureProperties has 0 reference.
Class ValidationBindHandlerTests has 0 reference.
Class DefaultConstructorBean has 0 reference.
Class ExampleMapValue has 0 reference.
Class UnboundElementsFailureProperties has 0 reference.
Class ApplicationContextRequestMatcher has 0 reference.
Class EnableConfigurationPropertiesRegistrarTests has 0 reference.
Class ValidatedOnBeanJsr303Configuration has 0 reference.
Class PropertyMapperTests has 0 reference.
Class ConfigurationPropertiesScanConfiguration has 0 reference.
Class LogLevels has 0 reference.
Class SslBuilderCustomizerTests has 0 reference.
Class MockPeriodTypeDescriptor has 0 reference.
Class AbstractInjectionFailureAnalyzer has 0 reference.
Class LenientToEnumConverter has 0 reference.
Class SpringApplicationNoWebTests has 0 reference.
Class EnumFailureProperties has 0 reference.
Class BeanConfigurationProperties has 0 reference.
Class SystemEnvironmentPropertyMapperTests has 0 reference.
Class StaticResourceJarsTests has 0 reference.
Class BinderTests has 0 reference.
Class NonAnnotatedBeanConfigurationImportSelector has 0 reference.
Class MyNamedComponent has 0 reference.
Class BindConverterTests has 0 reference.
Class TestBootstrappingResolver has 0 reference.
Class LambdaSafe has 0 reference.
Class WithPropertySourcePlaceholders has 0 reference.
Class DelegatingFilterProxyRegistrationBeanTests has 0 reference.
Class TestResourceCondition has 0 reference.
Class CompositeDataSourcePoolMetadataProviderTests has 0 reference.
Class OtherInjectPropertiesConfiguration has 0 reference.
Class DefaultErrorAttributesTests has 0 reference.
Class RSocketPortInfoApplicationContextInitializerTests has 0 reference.
Class ConfigurationPropertiesScanRegistrarTests has 0 reference.
Class NoAnnotationConfigurationProperties has 0 reference.
Class MapConfigurationPropertySourceTests has 0 reference.
Class ShouldHaveUsedConstructorBindingPropertiesConfiguration has 0 reference.
Class RandomValuePropertySourceEnvironmentPostProcessorTests has 0 reference.
Class SpringBootVersion has 0 reference.
Class ArrayBinderTests has 0 reference.
Class ConfigurationPropertySourcesCachingTests has 0 reference.
Class ValueAndBasePackages has 0 reference.
Class OracleUcpDataSourcePoolMetadataTests has 0 reference.
Class EnvironmentPostProcessorsFactoryTests has 0 reference.
Class OriginTrackedPropertiesLoaderTests has 0 reference.
Class TestBeanConsumer has 0 reference.
Class AnnotatedGenericComponent has 0 reference.
Class NoSuchMethodFailureAnalyzerTests has 0 reference.
Class EmbeddedDatabaseConnectionTests has 0 reference.
Class LoggingSystemPropertiesTests has 0 reference.
Class EmptyConfiguration has 0 reference.
Class ExampleServletWebServerApplicationConfiguration has 0 reference.
Class WithCustomValidatorConfiguration has 0 reference.
Class FailingConfig has 0 reference.
Class ConcurrentReferenceCachingMetadataReaderFactoryTests has 0 reference.
Class FieldConsumer has 0 reference.
Class BeanOverrideConfiguration has 0 reference.
Class NoConstructorBinding has 0 reference.
Class ConfigurationPropertyNameAliasesTests has 0 reference.
Class ConfigDataLocationBindHandlerTests has 0 reference.
Class MyComponentInPackageWithoutDot has 0 reference.
Class NonAnnotatedBeanConfiguration has 0 reference.
Class PropertySourceOriginTests has 0 reference.
Class DebugAgentEnvironmentPostProcessorTests has 0 reference.
Class Annotated has 0 reference.
Class CustomNameServlet has 0 reference.
Class MethodConsumer has 0 reference.
Class JsonObjectDeserializer has 0 reference.
Class WithPropertySourceMultipleLocations has 0 reference.
Class StandardConfigDataResourceTests has 0 reference.
Class SoftReferenceConfigurationPropertyCache has 0 reference.
Class OrderedHiddenHttpMethodFilter has 0 reference.
Class OnlySerializer has 0 reference.
Class WithPropertySourceMultipleLocationsAndName has 0 reference.
Class DatabaseDriverClassNameTests has 0 reference.
Class NonAnnotatedGenericBean has 0 reference.
Class ConfigDataEnvironmentContributorTests has 0 reference.
Class RefreshFailureConfig has 0 reference.
Class TaskSchedulerBuilderTests has 0 reference.
Class NestableFoo has 0 reference.
Class DelegatingDataSourceUnwrapper has 0 reference.
Class WebServiceTemplateBuilderTests has 0 reference.
Class FormatterConfiguration has 0 reference.
Class DelimitedStringToCollectionConverterTests has 0 reference.
Class MyCustomList has 0 reference.
Class OriginTests has 0 reference.
Class NestedProperties has 0 reference.
Class PropertySourcesPlaceholdersResolverTests has 0 reference.
Class ConfigDataEnvironmentTests has 0 reference.
Class DefaultPropertyMapperTests has 0 reference.
Class Config has 0 reference.
Class FilterRegistrationIntegrationTests has 0 reference.
Class AnnotationConfigReactiveWebServerApplicationContextTests has 0 reference.
Class BasePackageClasses has 0 reference.
Class Bean has 0 reference.
Class MultipartConfigFactoryTests has 0 reference.
Class OverrideSourcesTests has 0 reference.
Class ConstructorBoundProperties has 0 reference.
Class ServletComponentScanRegistrarTests has 0 reference.
Class UnboundElementsSourceFilterTests has 0 reference.
Class ApplicationHomeTests has 0 reference.
Class ConstructorBindingWithOuterClassConstructorBoundConfiguration has 0 reference.
Class DurationToStringConverterTests has 0 reference.
Class ExampleReactiveWebServerApplicationConfiguration has 0 reference.
Class NonQualifiedConverterConfiguration has 0 reference.
Class ExtendedWhitespaceThrowablePatternConverterTests has 0 reference.
Class TestEnvironmentPostProcessor has 0 reference.
Class NestedConfiguration has 0 reference.
Class OriginLookupTests has 0 reference.
Class ConfigurationPropertiesScanTests has 0 reference.
Class ExampleComponent has 0 reference.
Class ExampleFailingConstructorBean has 0 reference.
