Dead Variable with AST. Total elapse time: 150.343 seconds.
Variable ; nextAnnotation has 0 references ; org.springframework.asm.AnnotationWriter (line:91) ; dead variable
Variable ; foundNestedAnnotation has 0 references ; org.springframework.core.annotation.AttributeMethods (line:70) ; dead variable
Variable ; valueCache has 0 references ; org.springframework.core.annotation.SynthesizedMergedAnnotationInvocationHandler (line:56) ; dead variable
Variable ; charsetToMaxBytesPerChar has 0 references ; org.springframework.core.codec.CharSequenceEncoder (line:54) ; dead variable
Variable ; maxBytesPerChar has 0 references ; org.springframework.core.codec.CharSequenceEncoder (line:108) ; dead variable
Variable ; DEFAULT_BUFFER_SIZE has 0 references ; org.springframework.core.codec.ResourceEncoder (line:45) ; dead variable
Variable ; DEFAULT_BUFFER_SIZE has 0 references ; org.springframework.core.codec.ResourceRegionEncoder (line:52) ; dead variable
Variable ; delimitersCache has 0 references ; org.springframework.core.codec.StringDecoder (line:76) ; dead variable
Variable ; converterCache has 0 references ; org.springframework.core.convert.support.GenericConversionService (line:80) ; dead variable
Variable ; COMMAND_LINE_PROPERTY_SOURCE_NAME has 0 references ; org.springframework.core.env.CommandLinePropertySource (line:211) ; dead variable
Variable ; DEFAULT_NON_OPTION_ARGS_PROPERTY_NAME has 0 references ; org.springframework.core.env.CommandLinePropertySource (line:214) ; dead variable
Variable ; DEFAULT_INITIAL_CAPACITY has 0 references ; org.springframework.core.io.buffer.DefaultDataBufferFactory (line:39) ; dead variable
Variable ; sharedInstance has 0 references ; org.springframework.core.io.buffer.DefaultDataBufferFactory (line:45) ; dead variable
Variable ; parameterNamesCache has 0 references ; org.springframework.core.LocalVariableTableParameterNameDiscoverer (line:65) ; dead variable
Variable ; parameterAnnotations has 0 references ; org.springframework.core.MethodParameter (line:90) ; dead variable
Variable ; nestedMethodParameter has 0 references ; org.springframework.core.MethodParameter (line:99) ; dead variable
Variable ; DEFAULT has 0 references ; org.springframework.core.metrics.ApplicationStartup (line:34) ; dead variable
Variable ; recordingCallback has 0 references ; org.springframework.core.metrics.jfr.FlightRecorderStartupStep (line:40) ; dead variable
Variable ; serialVersionUID has 0 references ; org.springframework.core.NestedCheckedException (line:42) ; dead variable
Variable ; serialVersionUID has 0 references ; org.springframework.core.NestedRuntimeException (line:42) ; dead variable
Variable ; HIGHEST_PRECEDENCE has 0 references ; org.springframework.core.Ordered (line:49) ; dead variable
Variable ; UNBOUNDED_CONCURRENCY has 0 references ; org.springframework.core.task.SimpleAsyncTaskExecutor (line:58) ; dead variable
Variable ; NO_CONCURRENCY has 0 references ; org.springframework.core.task.SimpleAsyncTaskExecutor (line:64) ; dead variable
Variable ; target has 0 references ; org.springframework.core.task.SimpleAsyncTaskExecutor (line:271) ; dead variable
Variable ; toStringValue has 0 references ; org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor (line:111) ; dead variable
Variable ; cache has 0 references ; org.springframework.objenesis.SpringObjenesis (line:49) ; dead variable
Variable ; DEFAULT_INITIAL_INTERVAL has 0 references ; org.springframework.util.backoff.ExponentialBackOff (line:60) ; dead variable
Variable ; DEFAULT_MULTIPLIER has 0 references ; org.springframework.util.backoff.ExponentialBackOff (line:65) ; dead variable
Variable ; DEFAULT_MAX_INTERVAL has 0 references ; org.springframework.util.backoff.ExponentialBackOff (line:70) ; dead variable
Variable ; DEFAULT_MAX_ELAPSED_TIME has 0 references ; org.springframework.util.backoff.ExponentialBackOff (line:75) ; dead variable
Variable ; DEFAULT_INTERVAL has 0 references ; org.springframework.util.backoff.FixedBackOff (line:31) ; dead variable
Variable ; UNLIMITED_ATTEMPTS has 0 references ; org.springframework.util.backoff.FixedBackOff (line:36) ; dead variable
Variable ; TRUE_LOW has 0 references ; org.springframework.util.comparator.BooleanComparator (line:38) ; dead variable
Variable ; TRUE_HIGH has 0 references ; org.springframework.util.comparator.BooleanComparator (line:44) ; dead variable
Variable ; inUse has 0 references ; org.springframework.util.CompositeIterator (line:40) ; dead variable
Variable ; UNBOUNDED_CONCURRENCY has 0 references ; org.springframework.util.ConcurrencyThrottleSupport (line:52) ; dead variable
Variable ; monitor has 0 references ; org.springframework.util.ConcurrencyThrottleSupport (line:63) ; dead variable
Variable ; callbacks has 0 references ; org.springframework.util.concurrent.CompletableToListenableFutureAdapter (line:38) ; dead variable
Variable ; state has 0 references ; org.springframework.util.concurrent.FutureAdapter (line:44) ; dead variable
Variable ; mutex has 0 references ; org.springframework.util.concurrent.FutureAdapter (line:46) ; dead variable
Variable ; state has 0 references ; org.springframework.util.concurrent.ListenableFutureCallbackRegistry (line:43) ; dead variable
Variable ; mutex has 0 references ; org.springframework.util.concurrent.ListenableFutureCallbackRegistry (line:48) ; dead variable
Variable ; callbacks has 0 references ; org.springframework.util.concurrent.ListenableFutureTask (line:35) ; dead variable
Variable ; DUMMY_CALLABLE has 0 references ; org.springframework.util.concurrent.SettableListenableFuture (line:42) ; dead variable
Variable ; DEFAULT_INITIAL_CAPACITY has 0 references ; org.springframework.util.ConcurrentReferenceHashMap (line:65) ; dead variable
Variable ; DEFAULT_LOAD_FACTOR has 0 references ; org.springframework.util.ConcurrentReferenceHashMap (line:67) ; dead variable
Variable ; DEFAULT_CONCURRENCY_LEVEL has 0 references ; org.springframework.util.ConcurrentReferenceHashMap (line:69) ; dead variable
Variable ; DEFAULT_REFERENCE_TYPE has 0 references ; org.springframework.util.ConcurrentReferenceHashMap (line:71) ; dead variable
Variable ; index has 0 references ; org.springframework.util.ConcurrentReferenceHashMap (line:502) ; dead variable
Variable ; currCount has 0 references ; org.springframework.util.ConcurrentReferenceHashMap (line:572) ; dead variable
Variable ; DEFAULT_BLOCK_SIZE has 0 references ; org.springframework.util.FastByteArrayOutputStream (line:50) ; dead variable
Variable ; singletonInstance has 0 references ; org.springframework.util.function.SingletonSupplier (line:46) ; dead variable
Variable ; serialVersionUID has 0 references ; org.springframework.util.LinkedMultiValueMap (line:41) ; dead variable
Variable ; serialVersionUID has 0 references ; org.springframework.util.MimeType (line:57) ; dead variable
Variable ; toStringValue has 0 references ; org.springframework.util.MimeType (line:112) ; dead variable
Variable ; ALL_VALUE has 0 references ; org.springframework.util.MimeTypeUtils (line:66) ; dead variable
Variable ; APPLICATION_JSON has 0 references ; org.springframework.util.MimeTypeUtils (line:71) ; dead variable
Variable ; APPLICATION_JSON_VALUE has 0 references ; org.springframework.util.MimeTypeUtils (line:76) ; dead variable
Variable ; APPLICATION_OCTET_STREAM has 0 references ; org.springframework.util.MimeTypeUtils (line:81) ; dead variable
Variable ; APPLICATION_OCTET_STREAM_VALUE has 0 references ; org.springframework.util.MimeTypeUtils (line:86) ; dead variable
Variable ; APPLICATION_XML has 0 references ; org.springframework.util.MimeTypeUtils (line:91) ; dead variable
Variable ; APPLICATION_XML_VALUE has 0 references ; org.springframework.util.MimeTypeUtils (line:96) ; dead variable
Variable ; IMAGE_GIF has 0 references ; org.springframework.util.MimeTypeUtils (line:101) ; dead variable
Variable ; IMAGE_GIF_VALUE has 0 references ; org.springframework.util.MimeTypeUtils (line:106) ; dead variable
Variable ; IMAGE_JPEG has 0 references ; org.springframework.util.MimeTypeUtils (line:111) ; dead variable
Variable ; IMAGE_JPEG_VALUE has 0 references ; org.springframework.util.MimeTypeUtils (line:116) ; dead variable
Variable ; IMAGE_PNG has 0 references ; org.springframework.util.MimeTypeUtils (line:121) ; dead variable
Variable ; IMAGE_PNG_VALUE has 0 references ; org.springframework.util.MimeTypeUtils (line:126) ; dead variable
Variable ; TEXT_HTML has 0 references ; org.springframework.util.MimeTypeUtils (line:131) ; dead variable
Variable ; TEXT_HTML_VALUE has 0 references ; org.springframework.util.MimeTypeUtils (line:136) ; dead variable
Variable ; TEXT_PLAIN has 0 references ; org.springframework.util.MimeTypeUtils (line:141) ; dead variable
Variable ; TEXT_PLAIN_VALUE has 0 references ; org.springframework.util.MimeTypeUtils (line:146) ; dead variable
Variable ; TEXT_XML has 0 references ; org.springframework.util.MimeTypeUtils (line:151) ; dead variable
Variable ; TEXT_XML_VALUE has 0 references ; org.springframework.util.MimeTypeUtils (line:156) ; dead variable
Variable ; STANDARD_NUMBER_TYPES has 0 references ; org.springframework.util.NumberUtils (line:49) ; dead variable
Variable ; INITIAL_HASH has 0 references ; org.springframework.util.ObjectUtils (line:48) ; dead variable
Variable ; EMPTY_FIELD_ARRAY has 0 references ; org.springframework.util.ReflectionUtils (line:73) ; dead variable
Variable ; DEFAULT_INITIAL_CAPACITY has 0 references ; org.springframework.util.ResizableByteArrayOutputStream (line:43) ; dead variable
Variable ; attemptCount has 0 references ; org.springframework.util.SocketUtils (line:292) ; dead variable
Variable ; startTimeNanos has 0 references ; org.springframework.util.StopWatch (line:61) ; dead variable
Variable ; IS_STANDALONE_FEATURE_NAME has 0 references ; org.springframework.util.xml.AbstractStaxXMLReader (line:53) ; dead variable
Variable ; namespaceUriToPrefixes has 0 references ; org.springframework.util.xml.SimpleNamespaceContext (line:45) ; dead variable
Variable ; DEFAULT_XML_VERSION has 0 references ; org.springframework.util.xml.StaxEventXMLReader (line:64) ; dead variable
Variable ; DEFAULT_XML_VERSION has 0 references ; org.springframework.util.xml.StaxStreamXMLReader (line:48) ; dead variable
Variable ; endElements has 0 references ; org.springframework.util.xml.XMLEventStreamWriter (line:49) ; dead variable
Variable ; VALIDATION_NONE has 0 references ; org.springframework.util.xml.XmlValidationModeDetector (line:41) ; dead variable
Total Dead Variable Count : 390
